setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,Mole fraction of 2-aminoethan-1-ol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rHWwK,303.15,0.6877,0.147,101,1180.2,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,303.15,0.7837,0.1764,101,1183.3,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,303.15,0.7841,0.137,101,1185.2,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,303.15,0.7845,0.0978,101,1186.4,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,303.15,0.7846,0.0587,101,1188.7,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,303.15,0.7847,0.0198,101,1190.2,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,303.15,0.8798,0.0879,101,1191,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,303.15,0.8803,0.0685,101,1192.1,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,303.15,0.8804,0.049,101,1192.7,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,303.15,0.8808,0.0098,101,1194.5,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,303.15,0.8809,0.0293,101,1193.6,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,313.15,0.099,0.8014,101,1053.7,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,313.15,0.0992,0.6241,101,1062.9,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,313.15,0.0993,0.4463,101,1072.4,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
