setid,reference,property,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YmGYT,Thoppil et al. (2020),Normal melting temperature,Crystal,ABTsYn,CC(C)(C)[NH2+]CCO.CCCCCCCCCCCCCCCC(=O)[O-],N-(tert-butyl)ethanolammonium palmitate,,,,,,
XTMkn,Thoppil et al. (2020),Normal melting temperature,Crystal,ABJDOv,CCCCCCCCCCCC(=O)[O-].CCCC[NH2+]CCO,N-butylethanolammonium laurate,,,,,,
hyOTa,Thoppil et al. (2020),Normal melting temperature,Crystal,ABJDRO,CC(C)(C)[NH2+]CCO.CCCCCCCCCCCC(=O)[O-],N-(tert-butyl)ethanolammonium laurate,,,,,,
GREKZ,Thoppil et al. (2020),Normal melting temperature,Crystal,ABXkJl,CCCCCCCCCCCCCCCC(=O)[O-].OCC[NH2+]c1ccccc1,N-phenylethanolammonium palmitate,,,,,,
tGTdF,Tokuda et al. (2005),Normal melting temperature,Crystal,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,,,,
rfJKB,Tokuda et al. (2005),Normal melting temperature,Crystal,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
SnTQB,Tokuda et al. (2005),Normal melting temperature,Crystal,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,
qNZhT,Tokuda et al. (2006a),Normal melting temperature,Crystal,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,,,,
SNdjh,Tokuda et al. (2006a),Normal melting temperature,Crystal,ABJzqe,CCCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-butyl-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,,,,
jDDIP,Tokuda et al. (2006a),Normal melting temperature,Crystal,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,
zVAQC,Tokuda et al. (2006a),Normal melting temperature,Crystal,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
yeqTw,Tokuda et al. (2006b),Normal melting temperature,Crystal,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,,,
RNsjN,Tokuda et al. (2006b),Normal melting temperature,Crystal,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,,,,
QVOiU,Tokuda et al. (2006b),Normal melting temperature,Crystal,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,
agCbk,Tokuda et al. (2006b),Normal melting temperature,Crystal,ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,,,,
wSfaF,Tokuda et al. (2006b),Normal melting temperature,Crystal,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
LFvMO,Tokuda et al. (2006b),Normal melting temperature,Crystal,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
ktaxl,Tokuda et al. (2006b),Normal melting temperature,Crystal,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
mIhDf,Tokuda et al. (2006b),Normal melting temperature,Crystal,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,,,,
BEDvQ,Tokuda et al. (2006b),Normal melting temperature,Metastable crystal,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,,,
vMwjY,Tong et al. (2010b),Normal melting temperature,Crystal,AAkIgT,CC[n+]1ccccc1.[Br-],1-ethylpyridinium bromide,,,,,,
AJQbA,Tong et al. (2010b),Normal melting temperature,Crystal,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,,,,,,
frAwC,Trindade et al. (2010),Normal melting temperature,Crystal,ABTgBz,CCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,1-decyl-3-methylimidazolium trifluoromethansulfate,,,,,,
QcgPv,Van Oort and White (1989),Normal melting temperature,Crystal,AAzfdr,O=[N+]([O-])[O-].[NH3+]CCCCCCCCc1ccccc1,8-phenyloctylammonium nitrate,,,,,,
tEOFx,Van Valkenburg et al. (2005),Normal melting temperature,Crystal,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,,,,
BzWZV,Van Valkenburg et al. (2005),Normal melting temperature,Crystal,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,,,
yMAhX,Vatascin and Dohnal (2018),Normal melting temperature,Crystal,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,,,,
HikSH,Vatascin and Dohnal (2019),Normal melting temperature,Crystal,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,,,
rsXQj,Vatascin and Dohnal (2019),Normal melting temperature,Crystal,ABCPbo,CC[n+]1ccn(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,,,,,,
KuzAd,Verevkin et al. (2012e),Normal melting temperature,Crystal,AAhARo,CCCC[n+]1ccccc1.[Cl-],1-butylpyridinium chloride,,,,,,
dtZjW,Vieira et al. (2016),Normal melting temperature,Crystal,ABWEzw,CC[n+]1cccc(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-ethyl-3-methylpyridinium perfluoropentanoate,,,,,,
OZqks,Vieira et al. (2016),Normal melting temperature,Crystal,ABZceF,C[N+](C)(C)CCO.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,cholinium perfluorobutanesulfonate,,,,,,
WwPtb,Vieira et al. (2016),Normal melting temperature,Crystal,ACbfsT,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,cholinium bis(nonafluorobutylsulfonyl)imide,,,,,,
bUMUA,Vieira et al. (2016),Normal melting temperature,Crystal,ACdbab,CC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-ethyl-1-methylpyrrolidinium bis(nonafluorobutylsulfonyl)imide,,,,,,
BjEOr,Vieira et al. (2016),Normal melting temperature,Crystal,ACiwhY,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis(nonafluorobutylsulfonyl)imide,,,,,,
hjsvl,Vieira et al. (2017),Normal melting temperature,Crystal,ABtiCO,CCCCCCCCCCCCOS(=O)(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,tetrabutylammonium dodecyl sulfate,,,,,,
lqdfw,Vieira et al. (2017),Normal melting temperature,Crystal,ABZqBe,CCCCCCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium dodecyl sulfate,,,,,,
fEYiZ,Vila et al. (2012),Normal melting temperature,Crystal,ABNCBt,CCCCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-dodecyl-3-methylimidazolium tetrafluoroborate,,,,,,
YtyFD,Vila et al. (2012),Normal melting temperature,Crystal,ABHhVu,CCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-decyl-3-methylimidazolium tetrafluoroborate,,,,,,
tZgRS,Vila et al. (2012),Normal melting temperature,Crystal,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,,,
fxDmW,Vila et al. (2012),Normal melting temperature,Crystal,ABCPbo,CC[n+]1ccn(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,,,,,,
kthgK,Vila et al. (2012),Normal melting temperature,Crystal,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,,,,,,
VcVJa,Vila et al. (2012),Normal melting temperature,Crystal,AAtodn,CC[n+]1ccn(C)c1.[I-],1-ethyl-3-methylimidazolium iodide,,,,,,
Ftcdf,Vila et al. (2012),Normal melting temperature,Crystal,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,,,
IjDFE,Vila et al. (2012),Normal melting temperature,Crystal,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,,,
iGpMp,Vila et al. (2012),Normal melting temperature,Crystal,ABXrSr,CCCCCCCCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexadecyl-3-methylimidazolium tetrafluoroborate,,,,,,
MTlZs,Villanueva et al. (2015),Normal melting temperature,Crystal 1,ABWiWC,CC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
zHLZw,Villanueva et al. (2015),Normal melting temperature,Crystal 1,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,,,,
TPdpj,Villanueva et al. (2015),Normal melting temperature,Crystal,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,,,
kzaqg,Villanueva et al. (2015),Normal melting temperature,Crystal,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,,,,
DwkuJ,Villanueva et al. (2015),Normal melting temperature,Crystal,AAnEOY,CC[n+]1ccccc1.CS(=O)(=O)[O-],1-ethylpyridinium methanesulfonate,,,,,,
PunNY,Villanueva et al. (2015),Normal melting temperature,Crystal 1,AAxYCa,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,1-ethylpyridinium triflate,,,,,,
GeEER,Vranes et al. (2017b),Normal melting temperature,Crystal,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,,,,,,
VVyRb,Wachter et al. (2008),Normal melting temperature,Crystal,ABohEE,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=C([O-])C(F)(F)F,methyltrioctylammonium trifluoroacetate,,,,,,
zxaRQ,Wachter et al. (2008),Normal melting temperature,Crystal,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,,,
wBMci,Wachter et al. (2010),Normal melting temperature,Crystal,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,,,
JWqIQ,Wachter et al. (2010),Normal melting temperature,Crystal,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,,,
XTajo,Wachter et al. (2010),Normal melting temperature,Crystal,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
nwakd,Wachter et al. (2010),Normal melting temperature,Crystal,AAwYRR,CCCn1cc[n+](C)c1.[I-],1-methyl-3-propylimidazolium iodide,,,,,,
wwOOl,Wachter et al. (2010),Normal melting temperature,Crystal,AAwYRR,CCCn1cc[n+](C)c1.[I-],1-methyl-3-propylimidazolium iodide,,,,,,
VfWKr,Wachter et al. (2010),Normal melting temperature,Crystal,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
FcNjC,Wachter et al. (2010),Normal melting temperature,Crystal 1,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,,,
yLJcn,Wachter et al. (2010),Normal melting temperature,Metastable crystal,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,,,
DtHlx,Wachter et al. (2010),Normal melting temperature,Metastable crystal,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,,,
jJKmn,Wachter et al. (2010),Normal melting temperature,Crystal,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,,,
ZMLwR,Wachter et al. (2010),Normal melting temperature,Crystal,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,,,
wRIZF,Wachter et al. (2010),Normal melting temperature,Crystal,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,,,,
FwpSz,Wachter et al. (2010),Normal melting temperature,Crystal,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,,,,
corjp,Wachter et al. (2010),Normal melting temperature,Crystal,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,,,,
BkuSu,Wachter et al. (2010),Normal melting temperature,Crystal,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,,,,
pTmxK,Walst et al. (2015),Normal melting temperature,Crystal,ABtBdP,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(CC)CC)1c(N(CC)CC)[c+]1N(C)C,bis(diethylamino)(dimethylamino)cyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
JwyPM,Walst et al. (2015),Normal melting temperature,Crystal,ACJKPs,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(CC)CC)1c(N(CC)CC)[c+]1N(CCCC)CCCC,bis(diethylamino)(dibutylamino)cyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
oAYBg,Walst et al. (2015),Normal melting temperature,Crystal,ABvlDB,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(C)C)1c(N(C)C)[c+]1N(CCCCCC)C,bis(dimethylamino)(hexylmethylamino)cyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
eFGBP,Walst et al. (2015),Normal melting temperature,Crystal,ABqQyG,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(C)C)1c(N(C)C)[c+]1N(CCCC)C,bis(dimethylamino)(butylmethylamino)cyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
TUkxW,Walst et al. (2015),Normal melting temperature,Crystal,ABngjd,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(C)C)1c(N(C)C)[c+]1N(CCC)C,bis(dimethylamino)(methylpropylamino)cyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
yVkSA,Walst et al. (2015),Normal melting temperature,Crystal,ABkwBw,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(C)C)1c(N(C)C)[c+]1N(CC)C,bis(dimethylamino)(ethylmethylamino)cyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
fXjAw,Walst et al. (2015),Normal melting temperature,Crystal,ACJKdN,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(C)C)1c(N(C)C)[c+]1N(CCCCCC)CCCCCC,bis(dimethylamino)dihexylaminocyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
xZmKj,Walst et al. (2015),Normal melting temperature,Crystal,AByVDl,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(C)C)1c(N(C)C)[c+]1N(CCCC)CCCC,bis(dimethylamino)dibutylaminocyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
ISlHl,Walst et al. (2015),Normal melting temperature,Crystal,ABtBdY,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(C)C)1c(N(C)C)[c+]1N(CCC)CCC,bis(dimethylamino)dipropylaminocyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
ynbHI,Walst et al. (2015),Normal melting temperature,Crystal,ABngVY,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(C)C)1c(N(C)C)[c+]1N(CC)CC,bis(dimethylamino)diethylaminocyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
wNhtr,Walst et al. (2015),Normal melting temperature,Crystal,AEPpHK,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(CCCCCCCCCCCCCCCCCC)C)1c(N(CCCCCCCCCCCCCCCCCC)C)[c+]1N(CCCCCCCCCCCCCCCCCC)C,tris(methyloctadecylamino)cyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
WlCze,Walst et al. (2015),Normal melting temperature,Crystal,ABqQxk,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(CC)C)1c(N(CC)C)[c+]1N(CC)C,tris(ethylmethylamino)cyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
kKidC,Walst et al. (2015),Normal melting temperature,Crystal,AEXuFr,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(CCCCCCCCCC)CCCCCCCCCC)1c(N(CCCCCCCCCC)CCCCCCCCCC)[c+]1N(CCCCCCCCCC)CCCCCCCCCC,tris(didecylamino)cyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
cmhbQ,Walst et al. (2015),Normal melting temperature,Crystal,ADLIaY,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(CCCCCC)CCCCCC)1c(N(CCCCCC)CCCCCC)[c+]1N(CCCCCC)CCCCCC,tris(dihexylamino)cyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
LMHcz,Walst et al. (2015),Normal melting temperature,Crystal,ACuybq,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(CCCCC)CCCCC)1c(N(CCCCC)CCCCC)[c+]1N(CCCCC)CCCCC,tris(dipentylamino)cyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
cYLil,Walst et al. (2015),Normal melting temperature,Crystal,ACeoXM,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(CCCC)CCCC)1c(N(CCCC)CCCC)[c+]1N(CCCC)CCCC,tris(dibutylamino)cyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
UZyxa,Walst et al. (2015),Normal melting temperature,Crystal,ACOfgv,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(CCC)CCC)1c(N(CCC)CCC)[c+]1N(CCC)CCC,tris(dipropylamino)cyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
sPeIt,Walst et al. (2015),Normal melting temperature,Crystal,AByVQP,CCN(CC)c1c(N(CC)CC)[c+]1N(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tris(diethylamino)cyclopropenium bis(trifluoromethansulfonyl)amide,,,,,,
VOeXS,Walst et al. (2015),Normal melting temperature,Crystal,ABiLqC,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(C)C)1c(N(C)C)[c+]1N(C)C,tris(dimethylamino)cyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
fGFzy,Wang et al. (2007e),Normal melting temperature,Crystal,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,,,
LTebf,Wang et al. (2007e),Normal melting temperature,Crystal,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,,,,
vRxfT,Wang et al. (2007e),Normal melting temperature,Crystal,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,,,,
AGWyQ,Wang et al. (2014b),Normal melting temperature,Crystal,AAsYfo,CS(=O)(=O)[O-].c1ccc2sc[nH+]c2c1,benzothiazolium methanesulfonate,,,,,,
FNaoa,Wang et al. (2014b),Normal melting temperature,Crystal,ABHFJd,Cc1ccc(S(=O)(=O)[O-])cc1.c1ccc2sc[nH+]c2c1,benzothiazolium p-toluenesulfonate,,,,,,
QFBvD,Wang et al. (2014b),Normal melting temperature,Crystal,AAqtmD,F[B-](F)(F)F.c1ccc2sc[nH+]c2c1,benzothiazolium tetrafluoroborate,,,,,,
OjzNy,Wang et al. (2014b),Normal melting temperature,Crystal,ABCswj,O=S(=O)([O-])C(F)(F)F.c1ccc2sc[nH+]c2c1,benzothiazolium trifluoromethanesulfonate,,,,,,
bJrrJ,Wasserscheid et al. (2002),Normal melting temperature,Crystal,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,,,,
ENfED,Wei et al. (2010b),Normal melting temperature,Crystal,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,,,
dUMFq,Weiss et al. (2017),Normal melting temperature,Crystal,ACOVQa,CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-octadecyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,,,,,,
pQfMs,Weiss et al. (2017),Normal melting temperature,Crystal,ACZKKy,CCCCCCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-docosyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,
GcQCc,Weiss et al. (2017),Normal melting temperature,Crystal,ADUFqy,CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-methyl-3-octadecylimidazolium bis(nonafluorobutanesulfonyl)imide,,,,,,
cZRju,Weiss et al. (2017),Normal melting temperature,Crystal,ACuGAJ,CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-methyl-3-octadecylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,,,
LefeX,Wilkes et al. (1982),Normal melting temperature,Crystal,AAeuTF,CCCn1cc[n+](C)c1.[Cl-],1-methyl-3-propylimidazolium chloride,,,,,,
QnabJ,Wilkes et al. (1982),Normal melting temperature,Crystal,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,,,
npIHN,Wilkes et al. (1982),Normal melting temperature,Crystal,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",,,,,,
IOvTT,Wilkes et al. (1982),Normal melting temperature,Crystal,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,,,
njXSP,Wittig and Geissler (1953),Normal melting temperature,Crystal,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,,,
ktbXA,Wlazlo et al. (2015b),Normal melting temperature,Crystal,ABgjHR,C[N+]1(CCCO)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,4-(3-hydroxypropyl)-4-methylmorpholinium bis(trifluoromethylsulfonyl)amide,,,,,,
imgLj,Wlazlo et al. (2018),Normal melting temperature,Crystal,ABegQB,CCCCCCCCCCn1cc[n+](CCCCCCCCCC)c1C.N#C[N-]C#N,"1,3-didecyl-2-methylimidazolium dicyanimide",,,,,,
TmiUI,Wong et al. (2002),Normal melting temperature,Crystal,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,,,,,,
chOpU,Wu et al. (2020a),Normal melting temperature,Crystal,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,,,,,,
seXqY,Xenopoulous et al. (1992),Normal melting temperature,Crystal,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide,,,,,,
