setid,"Normal melting temperature, K",reference,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ikYzQ,349.4,Kawai et al. (2019),Crystal,ABmuSM,CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,"N-adamantyl-N,N-dimethyl-N-octylammonium bis(fluorosulfonyl)amide",,,,,,
WAWVS,549.65,Kurzin et al. (2016),Crystal,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,,,,,,
FUAIH,323.4,Zajac et al. (2019),Crystal,ABngLV,C=Cc1ccc(C[n+]2ccccc2)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(4'-vinylbenzyl)pyridinium bis(trifluoromethanesulfonyl)amide,,,,,,
QVOiU,270.1,Tokuda et al. (2006b),Crystal,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,
QYgay,337.1,Serbanovic et al. (2010),Crystal,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,,,,
peGSQ,354.1,Sastry and Trivedi (2021),Crystal 1,ABNTke,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],cetylpyridinium chloride,,,,,,
NcBay,266.7,Musial et al. (2019b),Crystal,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,,,,
OJhbG,277.15,Domanska and Mazurowska (2004),Crystal,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,,,
cYLil,280.1,Walst et al. (2015),Crystal,ACeoXM,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(CCCC)CCCC)1c(N(CCCC)CCCC)[c+]1N(CCCC)CCCC,tris(dibutylamino)cyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
UxqGp,286.1,Greaves et al. (2006),Crystal,AAOqBl,C[NH3+].O=C[O-],methanaminium formate,,,,,,
tqAbf,351,Every et al. (2001),Crystal 1,AAtodn,CC[n+]1ccn(C)c1.[I-],1-ethyl-3-methylimidazolium iodide,,,,,,
kTBTi,255.1,MacFarlane et al. (1999),Crystal 1,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
DQxjI,276,Kakinuma and Shirota (2019),Crystal,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,,,,
ynUXU,408.1,Aljuhani et al. (2018),Crystal,ABMsDT,CN(C)c1cc[n+](CCCOc2ccccc2)cc1.[Br-],4-(dimethylamino)-1-(3-phenoxypropyl)pyridinium bromide,,,,,,
rsXQj,327.4,Vatascin and Dohnal (2019),Crystal,ABCPbo,CC[n+]1ccn(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,,,,,,
vNXJB,325.5,Krolikowski et al. (2020b),Crystal,AAxtjO,C[N+]1(CCCC#N)CCOCC1.N#C[C-](C#N)C#N,4-(3-cyanopropyl)-4-methylmorpholinium tricyanomethanide,,,,,,
xdTOn,344,Shang et al. (2020),Crystal,ABPIQS,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.c1c[nH+]c[nH]1,imidazolium bis(trifluoromethanesulfonyl)imide,,,,,,
uIiAU,262.6,Stejfa et al. (2020),Crystal 1,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,,,
XWdTO,335.1,Ramdin et al. (2012),Crystal,ABHuEJ,CCCC[N+](C)(CCCC)CCCC.COS(=O)(=O)[O-],"N,N-dibutyl-N-methyl-1-butanaminium methyl sulfate",,,,,,
jOwcZ,256,Rotnicki et al. (2020),Metastable crystal,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,,,
YDBOM,380,Stolarska et al. (2018),Crystal,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,,,,,,
YQtyW,228,Kakinuma and Shirota (2019),Crystal,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,,,
cwKDP,423.2,Zhang et al. (2021b),Crystal,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,,,,,,
txdsj,259.05,Pernak et al. (2012),Crystal,ABWRLT,CCCCCCCOC[n+]1ccccc1.O=S(=O)([O-])NC1CCCCC1,1-((heptyloxy)methyl)pyridinium N-cyclohexylsulfamate,,,,,,
pqulV,270,Zhou et al. (2010a),Crystal,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,
fQVHY,364.1,Papaiconomou et al. (2010),Crystal,ABINLx,CCCC[n+]1cc(C)cc(C)c1.O=S(=O)([O-])C(F)(F)F,"1-butyl-3,5-dimethylpyridinium 1,1,1-trifluoromethanesulfonate",,,,,,
rHtRc,335.1,Koel (2000),Crystal,AAeuTF,CCCn1cc[n+](C)c1.[Cl-],1-methyl-3-propylimidazolium chloride,,,,,,
TBIvx,321.1,Fadeeva et al. (2020),Crystal,AAtqIW,CCCCn1cc[nH+]c1.O=C([O-])C(F)(F)F,N-butylimidazolium trifluoroacetate,,,,,,
uEQCu,368,Carreira et al. (2021),Crystal,ABaKPM,CCCC[N+](CCCC)(CCCC)CCCC.N[C@H](Cc1ccccc1)C(=O)[O-],tetrabutylammonium D-phenylalaninate,,,,,,
FNpvc,272.1,Papaiconomou et al. (2010),Crystal,AAsPvY,CCCC[n+]1cc(C)cc(C)c1.N#C[N-]C#N,"1-butyl-3,5-dimethylpyridinium dicyanamide",,,,,,
ONJok,375.1,Ferdeghini et al. (2021),Crystal,ADGrXB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCCCC[N+]1(CCOCC1)C)[N+]1(CCOCC1)C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"4,4'-(hexane-1,6-diyl)bis(4-methylmorpholin-4-ium) bis((trifluoromethyl)sulfonyl)amide",,,,,,
XTajo,264.5,Wachter et al. (2010),Crystal,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
ynbHI,317.1,Walst et al. (2015),Crystal,ABngVY,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(C)C)1c(N(C)C)[c+]1N(CC)CC,bis(dimethylamino)diethylaminocyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
sHKKW,328.1,Sashina et al. (2013),Crystal,AAzuEi,CCCCCCCCCC[n+]1cccc(C)c1.[Cl-],1-decyl-3-methylpyridinium chloride,,,,,,
joUEc,376.15,De Gaetano et al. (2015),Crystal,ABFKDJ,CCCCCCOC(=O)C[N+](C)(C)C.CS(=O)(=O)[O-],"2-(hexyloxy)-N,N,N-trimethyl-2-oxoethan-1-aminium methanesulfonate",,,,,,
cfKTq,361.1,MacFarlane et al. (2001),Crystal 1,ABXrWT,CC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
hmvag,391.1,Ngo et al. (2000),Crystal,ABchfh,Cc1c(C)[n+](C)c(C)n1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2,3,4,5-pentamethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,,,,
PnjIL,329.1,El Bourakadi et al. (2019),Crystal,ABmiLN,CCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.F[B-](F)(F)F,1-dodecyl-3-methyl-2-(thiazol-4-yl)benzimidazolium tetrafluoroborate,,,,,,
RJuyV,363.95,Mod et al. (1967),Crystal,ABTEgB,CCCCCCCCCCCCCCCCC(=O)[O-].[NH3+]C1CCCCC1,heptadecanoic acid cyclohexanamine salt (1:1),,,,,,
DbWsB,289.9,Curnow et al. (2020),Crystal,ACJxzj,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.c2ccccc2Nc1c([c+]1Nc2ccccc2)Nc2ccccc2,trianilinocyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
AlKNB,289,Fillion et al. (2016),Crystal,ABLSow,CCCCCCC[P+](CC)(CC)CC.O=[N+]([O-])c1cn[n-]c1,triethylheptylphosphonium 4-nitropyrazolide,,,,,,
tYoLW,489,Yang et al. (2010b),Crystal,AAmoSi,C[NH2+][C@H](C)[C@@H](O)c1ccccc1.[Cl-],ephedrine hydrochloride,,,,,,
fxoNQ,281.1,Henderson and Passerini (2004),Crystal,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
FOjcM,402.1,Govinda et al. (2013a),Crystal,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,,,,
sCQLI,350.42,Fernandez et al. (2017),Crystal,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,,,
rwgvX,318.6,Stejfa et al. (2022),Crystal 1,ABKJQh,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-1-methylpyrrolidinium 1,1,2,2-tetrafluoroethanesulfonate",,,,,,
vXNyS,331.1,De Gaetano et al. (2015),Crystal,ABDfRM,CCCCCCOC(=O)C[N+](C)(C)C.F[B-](F)(F)F,"2-(hexyloxy)-N,N,N-trimethyl-2-oxoethan-1-aminium tetrafluoroborate",,,,,,
bjtvu,303.8,Kawai et al. (2019),Crystal,ACAmHR,CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N-adamantyl-N,N-dimethyl-N-hexylammonium bis(trifluoromethylsulfonyl)imide",,,,,,
JMTCC,280.1,Le et al. (2015),Crystal,ABjAtT,CCCCCCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
AIgLA,294.8,Ferreira et al. (2020),Crystal,ABXCRi,Cn1cc[n+](CCO)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,,,,,,
tEOFx,284.4,Van Valkenburg et al. (2005),Crystal,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,,,,
DEePh,372.1,Greaves et al. (2006),Crystal,AAhPdP,COS(=O)(=O)[O-].[NH3+]CCO,ethanolammonium methyl sulfate,,,,,,
QFBvD,398.15,Wang et al. (2014b),Crystal,AAqtmD,F[B-](F)(F)F.c1ccc2sc[nH+]c2c1,benzothiazolium tetrafluoroborate,,,,,,
Uwlgc,284.1,Fredlake et al. (2004),Crystal,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,,,
xAwjO,272.1,MacFarlane et al. (2001),Crystal,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,
tAYxb,330,Monteiro et al. (2020),Crystal,AAuejh,CCCC[n+]1ccn(C)c1.COC(=O)C(=O)[O-],1-butyl-3-methylimidazolium 2-methoxy-2-oxoacetate,,,,,,
XTMkn,327.1,Thoppil et al. (2020),Crystal,ABJDOv,CCCCCCCCCCCC(=O)[O-].CCCC[NH2+]CCO,N-butylethanolammonium laurate,,,,,,
mmAjk,365.9,Kato et al. (2009),Crystal,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,,,,
EXnug,394.1,Xue et al. (2005),Crystal,AAuScN,Cc1n(C)nn[n+]1N.[I-],"4-amino-1,5-dimethyl-1H-tetrazol-4-ium iodide",,,,,,
lhxFV,341.9,Nemoto et al. (2015),Crystal,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,,,
wwOOl,290.1,Wachter et al. (2010),Crystal,AAwYRR,CCCn1cc[n+](C)c1.[I-],1-methyl-3-propylimidazolium iodide,,,,,,
asulH,360.1,Greaves et al. (2006),Crystal 1,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,,,,
frAwC,296.2,Trindade et al. (2010),Crystal,ABTgBz,CCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,1-decyl-3-methylimidazolium trifluoromethansulfate,,,,,,
iGpMp,330,Vila et al. (2012),Crystal,ABXrSr,CCCCCCCCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexadecyl-3-methylimidazolium tetrafluoroborate,,,,,,
nhNMz,421.05,Ozdemir and Ozgun (2017),Crystal,ABDUNG,Cc1ccc(-[n+]2c(C)cc(C)n2C)cc1.F[B-](F)(F)F,"1-(4-methylphenyl)-2,3,5-trimethylpyrazolium tetrafluoroborate",,,,,,
xRxmD,369.8,Domanska et al. (2003a),Crystal 1,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,,,,,,
uiMjU,376.1,Dzyuba and Bartsch (2002a),Crystal,ABLuUC,C[n+]1ccn(CCc2ccccc2)c1.F[P-](F)(F)(F)(F)F,1-methyl-3-(2-phenylethyl)-1H-imidazolium hexafluorophosphate,,,,,,
LSXUl,374.7,Adeosun and Sime (1978),Crystal 1,ABlbdO,CCCCCCC(=O)[O-].CCCCCCC(=O)[O-].[Pb+2],lead(2+) diheptanoate,,,,,,
MfHvy,279.6,Appetecchi et al. (2011),Crystal,ABtnYW,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-methyl-1-propylpyrrolidin-1-ium bis((perfluoroethyl)sulfonyl)amide,,,,,,
ttvDu,318.1,Ozdil et al. (2016),Crystal,ABfdTs,CCCCCCCCCC[N+](CC)(CC)CCCCCCCCCC.[Br-],didecyldiethylammonium bromide,,,,,,
qbpsf,374.8,Kollau et al. (2019),Crystal,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,,,,
JAjyF,349.1,Papaiconomou et al. (2010),Crystal,ABTCkC,CCCCCCCC[n+]1cc(C)cc(C)c1.O=S(=O)([O-])C(F)(F)F,"3,5-dimethyl-1-octylpyridinium 1,1,1-trifluoromethanesulfonate",,,,,,
dREPS,351.1,Pereira et al. (2019),Crystal,ABEyyQ,CCOC(=O)CCC[N+](CC)(CC)CC.[Br-],"N,N,N-triethyl(4-ethoxy-4-oxobutyl)-1-aminium bromide",,,,,,
TVlaJ,263.1,MacFarlane et al. (2001),Crystal,ABYLaO,CCC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N-ethyl-N,N-dimethyl-1-propanaminium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,,,,
NJBWm,311.1,Fukaya et al. (2007),Crystal,AAiYkh,C[N+](C)(C)CCO.O=C([O-])CO,choline glycolate,,,,,,
KivoJ,334.05,Zhang et al. (2007a),Crystal 1,AApIGa,C[N+](C)(C)CCCC#N.F[B-](F)(F)F,Butyronitriletrimethylammonium tetrafluoroborate,,,,,,
jSpqt,340.1,Koel (2000),Crystal,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,,,
cZRju,319.1,Weiss et al. (2017),Crystal,ACuGAJ,CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-methyl-3-octadecylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,,,
Tzwwt,506,Hagiwara et al. (2008),Crystal,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,,,,
fxwaP,348.8,Brown et al. (2022),Crystal 1,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",,,,,,
HuQqP,385.78,Kimaru et al. (2017),Crystal,ACLsqd,CC(C)(C)OC(=O)[C@@H]([NH3+])Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,L-phenylalanine tert-butyl ester bis(perfluoroethylsulfonyl)imide,,,,,,
gtvrW,281.1,Zhou et al. (2005),Crystal 1,AAzmvG,CC[N+](C)(C)CCOC.F[B-](F)(F)C(F)(F)F,"2-methoxy-N-ethyl-N,N-dimethylethan-1-aminium trifluoro(trifluoromethyl)borate",,,,,,
emjjk,353.1,Sakizadeh et al. (2007),Crystal,ABoVDR,CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,1-methyl-3-octadecylimidazolium hexafluorophosphate,,,,,,
lRPkB,393.2,Adeosun (1978),Crystal 1,ACrfIl,CCCCCCCCCCCCCCCCCC(=O)O[Hg]OC(=O)CCCCCCCCCCCCCCCCC,mercury(II) stearate,,,,,,
kwmDO,299.1,Guo et al. (2011),Crystal 1,ABbFQf,CCC[S+]1CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-propyltetrahydro-1H-thiophen-1-ium bis((trifluoromethyl)sulfonyl)amide,,,,,,
zPucA,325.1,Curnow et al. (2018),Crystal,ADagkV,[N-](C#N)C#N.c(N(CCCCCCCCCCCCCCCCCC)C)1c(N(CCCCCCCCCCCCCCCCCC)C)[c+]1N(CCCCCCCCCCCCCCCCCC)C,tris(methyloctadecylamino)cyclopropenium dicyanamide,,,,,,
usepc,379.1,Berger and Bircher (2005),Crystal,AAkqeJ,O=[N+]([O-])[N-][N+](=O)[O-].[Rb+],rubidium dinitramide,,,,,,
amNkr,424.8,Domanska et al. (2009e),Crystal,ABBljf,Cc1cc[n+](C)cc1.Cc1ccc(S(=O)(=O)[O-])cc1,"1,4-dimethylpyridinium 4-methylbenzenesulfonate",,,,,,
oYzYM,352.1,Pereira et al. (2019),Crystal,ABNDWk,CCC[N+](CCC)(CCC)CCCC(=O)OCC.[Br-],"N,N,N-tri(n-propyl)(4-ethoxy-4-oxobutyl)-1-aminium bromide",,,,,,
sJCvO,296.1,Zhou et al. (2005),Crystal 1,ABQOUA,COCC[N+](C)(C)C.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,"2-methoxy-N,N,N-trimethylethan-1-aminium trifluoro(perfluoropropyl)borate",,,,,,
OZCqL,292.77,Krolikowska (2014),Crystal,AAxXko,CCCC[N+]1(C)CCCC1.N#C[B-](C#N)(C#N)C#N,1-butyl-1-methylpyrrolidinium tetracyanoborate,,,,,,
LUrDo,339.6,Aljuhani et al. (2019),Crystal,ABZmGw,Cc1cc[n+](CC(=O)Nc2ccc(C)c(F)c2)cc1.F[P-](F)(F)(F)(F)F,1-(2-((3-fluoro-4-methylphenyl)amino)-2-oxoethyl)-4-methylpyridin-1-ium hexafluorophosphate,,,,,,
ahgKM,364,Stolarska et al. (2016),Crystal,ABXrWT,CC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
pYcmr,357,Castro et al. (2016b),Crystal,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,,,
yqywR,383.15,Coker et al. (1970),Crystal 1,ABjRlX,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[O-]Cl(=O)(=O)=O,tetrahexylammonium perchlorate,,,,,,
qcIfi,292.8,Domanska et al. (2016d),Crystal,AAxXko,CCCC[N+]1(C)CCCC1.N#C[B-](C#N)(C#N)C#N,1-butyl-1-methylpyrrolidinium tetracyanoborate,,,,,,
jZEwj,382.39,Krolikowska et al. (2019b),Crystal 1,AAoBjM,CC[N+]1(C)CCCCC1.[Br-],N-ethyl-N-methylpiperidinium bromide,,,,,,
ShvXH,311.1,Klapotke et al. (1999),Crystal,AATrjE,C[NH+](C)N.[N-]=[N+]=[N-],"1,1-dimethylhydrazinium azide",,,,,,
ytcQI,302.12,Zawadzki et al. (2020),Crystal 1,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,,,,
ZTABW,387.15,Coker et al. (1970),Crystal 1,ABRRch,CCCCC[N+](CCCCC)(CCCCC)CCCCC.O=[N+]([O-])[O-],tetrapentylammonium nitrate,,,,,,
OlXeD,277.35,Domanska et al. (2017d),Crystal,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,,,
flHoU,302.55,Er and Wang (2016),Crystal,ABDDEK,CCCCCCCC[NH2+]CCN.O=C([O-])C(F)(F)F,N-octylethylenediammonium trifluoroacetate,,,,,,
PUqZw,322,Fillion et al. (2016),Crystal,ABjJYp,CCC=C[P+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,(buten-1-yl)triethylphosphonium bis(trifluoromethylsulfonyl)amide,,,,,,
kyFVC,361.45,Li et al. (2013h),Crystal 1,ABRFyX,CCCCCCCC[N+](CC)(CC)CC.F[P-](F)(F)(F)(F)F,"N,N,N-triethyl-N-octylammonium hexafluorophosphate",,,,,,
QnPiF,407.7,Zhang et al. (2019a),Crystal,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",,,,,,
nrtFO,284.1,Hachicha et al. (2019),Crystal 1,ABXrMm,C=CC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N-ethyl-N,N-dimethylprop-2-en-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,,,,
JQsOn,324.1,Xue et al. (2004),Crystal,AApDAZ,Cc1n(C)nn[n+]1N.[O-]Cl(=O)(=O)=O,"4-amino-1,5-dimethyl-1H-tetrazol-4-ium perchlorate",,,,,,
HHmYx,311.1,Hu et al. (2011),Crystal,ABFSBw,CCCC[n+]1ccn(C)c1C.F[P-](F)(F)(F)(F)F,"1-butyl-2,3-dimethylimidazolium hexafluorophosphate",,,,,,
xMTsV,277.2,Domanska et al. (2017d),Crystal,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,,,
YRFfK,261.2,Ahmed et al. (2018),Crystal,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
iLgfz,355.1,Pereiro et al. (2011),Crystal,AApFXa,CCCCCC[n+]1cccc(C)c1.[Cl-],1-hexyl-3-methylpyridinium chloride,,,,,,
zuwwC,353.65,Mod et al. (1967),Crystal,ABAKJN,CCCCCCCCCC(=O)[O-].[NH3+]C1CCCCC1,decanoic acid cyclohexanamine salt (1:1),,,,,,
ObeTV,333.9,Mezzetta et al. (2019),Crystal,ABXucN,CCCCCCCCCCCCCCCCCC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium stearate,,,,,,
GQONV,245,Fillion et al. (2016),Crystal,ABOCDK,CCCCCCCC[P+](CC)(CC)CC.O=[N+]([O-])c1c[n-]cn1,triethyloctylphosphonium 4-nitroimidazolide,,,,,,
rhcHd,374,Meisel et al. (1976),Crystal,AAvxNH,O=C[O-].[Tl+],thallium methanoate,,,,,,
tJhwE,374.55,Li et al. (2013h),Crystal,ABFwWq,CCCCCCCC[N+](CC)(CC)CC.F[B-](F)(F)F,"N,N,N-triethyl-N-octylammonium tetrafluoroborate",,,,,,
Eiaqd,347.8,Brown et al. (2022),Crystal 1,AAmQaq,CS(=O)(=O)[O-].C[N+](C)(C)CCO,choline methanesulfonate,,,,,,
bqRUm,385,Fernandez-Martin et al. (1984),Crystal 1,ABpqSB,C(CCCCCCCCCCCCCCCCC)(=O)[O-].[Tl+],thallium(1+) stearate,,,,,,
ckliN,323.9,Sudholter et al. (1982),Crystal,ABFjcr,CCCCCCCCCCCCc1cc[n+](C)cc1.[Cl-],4-dodecyl-1-methylpyridinium chloride,,,,,,
PCfQn,289,Gomez et al. (2020),Crystal,ABcDsh,CCC[n+]1ccccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-methyl-1-propylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,,,
BTxfn,258.1,Ngo et al. (2000),Metastable crystal,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,,,
WgchZ,390.1,Curnow et al. (2018),Crystal,AAtDjK,[N-](C#N)C#N.c(N(C)C)1c(N(C)C)[c+]1N(C)C,tris(dimethylamino)cyclopropenium dicyanamide,,,,,,
uatRK,267.2,Rocha et al. (2016a),Crystal,ACVBCn,CCCCCCCC/C=C\CCCCCCCC(=O)[O-].CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,methyltrioctylammonium oleate,,,,,,
wRHCU,369.1,Muhammad et al. (2012a),Crystal,AAnYMY,CC(C)(C)C(=O)[O-].C[N+](C)(C)CCO,choline pivalate,,,,,,
